TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2014-12-11,TQTF,FXRU ETF,FXRU,3,947980.0,4520.0,4520.0,4540.0,4540.0,4540.0,4540.0,209,4510.0,4500.0,4510.0,3943740.0,2892540.0,3943740.0,829748.09
2014-12-12,TQTF,FXRU ETF,FXRU,6,1720670.0,4670.0,4630.0,4670.0,4630.0,4640.0,4630.0,371,4570.0,4590.0,4570.0,3717210.0,3163650.0,3717210.0,829748.09
2014-12-15,TQTF,FXRU ETF,FXRU,12,1169640.0,4710.0,4660.0,4770.0,4770.0,4700.0,4770.0,249,4700.0,4700.0,4700.0,1169640.0,1169640.0,1169640.0,829748.09
2014-12-16,TQTF,FXRU ETF,FXRU,9,2006190.0,4780.0,4780.0,5540.0,5390.0,4950.0,5390.0,405,4860.0,4950.0,4860.0,3175830.0,2030040.0,3175830.0,829748.09
2014-12-17,TQTF,FXRU ETF,FXRU,13,715250.0,5350.0,4680.0,5350.0,4680.0,4900.0,4680.0,146,4900.0,4900.0,4900.0,715250.0,715250.0,715250.0,829748.09
2014-12-18,TQTF,FXRU ETF,FXRU,3,92320.0,4770.0,4770.0,4900.0,4900.0,4860.0,4900.0,19,4890.0,4860.0,4890.0,807570.0,534650.0,807570.0,829748.09
2014-12-19,TQTF,FXRU ETF,FXRU,2,14480.0,4820.0,4820.0,4830.0,4830.0,4830.0,4830.0,3,4890.0,4860.0,4890.0,822050.0,549130.0,822050.0,829748.09
2014-12-22,TQTF,FXRU ETF,FXRU,7,653380.0,4700.0,4490.0,4700.0,4610.0,4540.0,4610.0,144,4580.0,4570.0,4580.0,760180.0,716860.0,760180.0,829748.09
2014-12-23,TQTF,FXRU ETF,FXRU,8,761610.0,4480.0,4480.0,4550.0,4530.0,4530.0,4530.0,168,4540.0,4530.0,4540.0,1414990.0,833570.0,1414990.0,829748.09
2014-12-24,TQTF,FXRU ETF,FXRU,4,31470.0,4490.0,4460.0,4510.0,4460.0,4500.0,4460.0,7,4530.0,4540.0,4530.0,793080.0,748280.0,793080.0,829748.09
2014-12-25,TQTF,FXRU ETF,FXRU,2,13180.0,4380.0,4380.0,4400.0,4400.0,4390.0,4400.0,3,4530.0,4530.0,4530.0,806260.0,743400.0,806260.0,829748.09
2014-12-26,TQTF,FXRU ETF,FXRU,4,240240.0,4260.0,4260.0,4490.0,4420.0,4370.0,4420.0,55,,4490.0,,0.0,983640.0,0.0,829748.09
2014-12-29,TQTF,FXRU ETF,FXRU,11,1531830.0,4750.0,4560.0,4750.0,4660.0,4670.0,4660.0,328,4670.0,4670.0,4670.0,1531830.0,1531830.0,1531830.0,829748.09
2014-12-30,TQTF,FXRU ETF,FXRU,2,184930.0,4810.0,4670.0,4810.0,4670.0,4740.0,4670.0,39,4680.0,4680.0,4680.0,1716760.0,1670960.0,1716760.0,829748.09
2015-01-05,TQTF,FXRU ETF,FXRU,0,0.0,,,,4670.0,,,0,4680.0,4680.0,4680.0,1716760.0,1670960.0,1716760.0,825734.18
